time,breath,heart,distance
304418,16.00,99.00,34.44
305122,16.00,99.00,34.44
305722,15.00,99.00,34.44
306322,16.00,96.00,34.44
306926,18.00,94.00,34.44
307526,19.00,91.00,34.44
308226,20.00,88.00,28.70
308830,21.00,85.00,28.70
309430,21.00,82.00,28.70
310030,22.00,80.00,28.70
310631,22.00,82.00,28.70
311235,22.00,86.00,28.70
311935,23.00,89.00,28.70
312535,23.00,94.00,28.70
313140,22.00,97.00,28.70
313740,18.00,100.00,28.70
314340,14.00,102.00,28.70
315044,12.00,104.00,28.70
315644,12.00,106.00,34.44
316244,13.00,108.00,34.44
316848,13.00,109.00,28.70
317448,13.00,111.00,28.70
318048,13.00,113.00,28.70
318748,14.00,115.00,28.70
319353,14.00,117.00,28.70
319953,14.00,119.00,34.44
320553,15.00,119.00,34.44
321157,16.00,121.00,34.44
321857,17.00,121.00,34.44
322457,17.00,122.00,34.44
323061,17.00,123.00,34.44
323661,18.00,124.00,40.18
324261,18.00,124.00,45.92
324965,18.00,121.00,45.92
325565,18.00,116.00,40.18
326165,18.00,112.00,40.18
326765,18.00,108.00,40.18
327370,19.00,106.00,40.18
328070,18.00,103.00,40.18
328670,17.00,100.00,34.44
329274,16.00,97.00,34.44
329874,16.00,96.00,34.44
330474,15.00,94.00,34.44
331078,15.00,92.00,34.44
331678,15.00,91.00,34.44
332378,15.00,90.00,34.44
332982,15.00,89.00,34.44
333582,15.00,88.00,34.44
334182,16.00,87.00,34.44
334782,16.00,85.00,34.44
335387,17.00,83.00,34.44
336087,18.00,82.00,34.44
336687,20.00,82.00,34.44
337291,19.00,81.00,34.44
337891,19.00,80.00,34.44
338491,19.00,80.00,34.44
339095,19.00,79.00,34.44
339895,19.00,77.00,34.44
340395,19.00,74.00,34.44
340999,18.00,72.00,34.44
341599,18.00,70.00,34.44
342199,18.00,69.00,34.44
342799,18.00,67.00,34.44
343504,18.00,66.00,34.44
344104,18.00,66.00,28.70
344704,19.00,65.00,28.70
345308,18.00,64.00,28.70
345908,17.00,63.00,28.70
346608,17.00,69.00,28.70
347212,17.00,71.00,28.70
347812,18.00,73.00,28.70
348412,18.00,75.00,28.70
349016,18.00,78.00,28.70
349716,18.00,81.00,28.70
350316,18.00,83.00,28.70
350920,19.00,87.00,34.44
351520,20.00,89.00,40.18
352220,21.00,92.00,34.44
